Date,Open,High,Low,Close,Adj Close,Volume
2008-12-29,3.164375,3.821250,3.130625,3.821250,3.031864,668800
2009-01-05,3.793125,4.302500,3.523750,3.555625,2.821111,2601600
2009-01-12,3.564375,3.564375,2.796875,3.188125,2.529528,3806400
2009-01-19,3.131250,3.195000,2.693750,3.073125,2.438286,4052800
2009-01-26,3.093750,3.689375,2.968750,2.996250,2.377290,5395200
2009-02-02,2.858750,3.943750,2.858750,3.881250,3.079469,6368000
2009-02-09,3.898125,3.970000,3.199375,3.501250,2.777969,8889600
2009-02-16,3.233125,3.233125,2.644375,2.778750,2.204722,6451200
2009-02-23,2.838125,2.844375,2.375000,2.543125,2.017772,7995200
2009-03-02,2.425000,2.597500,2.030625,2.185000,1.733627,10550400
2009-03-09,2.126875,2.885625,1.991250,2.803125,2.224061,12948800
2009-03-16,2.868125,3.312500,2.661875,2.995000,2.376299,14019200
2009-03-23,3.367500,3.808125,3.150000,3.515625,2.789375,19998400
2009-03-30,3.270625,4.196875,3.061875,4.140625,3.286366,22574400
2009-04-06,3.933125,4.290625,3.636875,4.238125,3.363751,13857600
2009-04-13,4.206250,4.441875,3.797500,4.365625,3.464946,22643200
2009-04-20,4.137500,4.596250,3.814375,4.503125,3.574078,34790400
2009-04-27,4.333750,5.020000,4.266250,4.772500,3.787879,25596800
2009-05-04,4.910000,5.125000,4.271250,4.453125,3.534394,32488000
2009-05-11,4.272500,4.621250,4.052500,4.240000,3.365240,33593600
2009-05-18,4.302500,4.885625,4.195625,4.311875,3.422286,31731200
2009-05-25,4.198125,4.993750,4.198125,4.993750,3.963482,22355200
2009-06-01,5.120625,5.755625,5.114375,5.637500,4.474418,27281600
2009-06-08,5.540625,5.995000,5.301250,5.788125,4.593967,21545600
2009-06-15,5.638125,5.701875,5.237500,5.586250,4.433742,18342400
2009-06-22,5.431250,5.680625,4.966250,5.595625,4.441183,21326400
2009-06-29,5.648750,5.900625,5.296250,5.348750,4.246695,13896000
2009-07-06,5.223750,5.329375,4.657500,5.009375,3.977244,30438400
2009-07-13,5.059375,6.533750,4.838750,6.529375,5.184064,45689600
2009-07-20,6.643750,7.408125,6.531250,7.156250,5.681777,44761600
2009-07-27,7.141875,7.526250,6.812500,7.158750,5.683761,32352000
2009-08-03,7.403125,7.488125,6.998125,7.260625,5.764647,34667200
2009-08-10,7.192500,7.484375,6.862500,7.264375,5.767623,22926400
2009-08-17,6.882500,7.631250,6.661875,7.619375,6.049480,23171200
2009-08-24,7.696875,8.256875,7.318125,7.814375,6.204301,26496000
2009-08-31,7.623750,7.865000,7.020000,7.647500,6.071810,21168000
2009-09-07,7.879375,8.425625,7.680000,8.311250,6.598800,16030400
2009-09-14,8.123750,8.822500,8.118125,8.651250,6.868746,20860800
2009-09-21,8.540625,9.155625,8.271250,8.350625,6.630062,23342400
2009-09-28,8.535625,8.979375,7.689375,7.836875,6.222166,27120000
2009-10-05,7.937500,9.031250,7.757500,8.950625,7.106440,24313600
2009-10-12,9.114375,9.630625,8.929375,9.170000,7.280614,29817600
2009-10-19,9.201250,9.979375,9.108125,9.455625,7.507389,32241600
